Naam,Bedrijfsnummer,BTW-nummer,E-mail,E-mail geverifieerd,Telefoonnummer,Telefoon geverifieerd,Website,Website domain,Beschrijving,Activiteiten,NACE-codes,Provincie,Adres,Geschat aantal werknemers,Geschatte omzet,Bizzy URL
BOUWBEDRIJF FURNIBO,0447.692.117,BE0447.692.117,info@furnibo.be,Geverifieerd,+32 58 52 49 24,Geverifieerd,www.furnibo.be,furnibo,"Furnibo is een bouwbedrijf dat totaaloplossingen en expertise biedt in verschillende bouwprojecten, waaronder woningen, kantoren, openbare gebouwen en zwembaden. Met meer dan 25 jaar ervaring zorgt Furnibo voor een uitstekende oplevering en klanttevredenheid.",Bouw - Woningbouw,41201 - 41203 - 41203,West-Vlaanderen,"Bedrijvenlaan 7, 8630 Veurne",100 - 200,€50M - €100M,app.bizzy.org/BE/0447692.117?utm_source=export&utm_medium=lists_xlsx
ENGIE CC,0442.100.363,BE0442.100.363,contact@ajusto.be,Geverifieerd,+32 78 78 20 20,Geverifieerd,www.engie.be,engie,"Engie is een toonaangevend expertise- en onderzoekscentrum op het gebied van elektrische energietechnologie. Ze bieden operationeel onderzoek en ontwikkelingsdiensten, gespecialiseerde expertise en op maat gemaakte wereldwijde oplossingen voor klanten in de sectoren opwekking, transmissie, distributie, opslag en eindgebruik van elektriciteit. Ze richten zich op de energietransitie en netto nul koolstof, en bieden expertise op alle vormen van elektriciteitsopwekking, van fossiele en nucleaire tot hernieuwbare technologieën.",,70100 - 70100,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",200 - 500,€50M - €100M,app.bizzy.org/BE/0442100.363?utm_source=export&utm_medium=lists_xlsx
DECAT Energy Technics,0416.245.806,BE0416.245.806,officeinfo@decat.be,Geverifieerd,+32 51 55 50 01,Geverifieerd,www.decat.be,decat,"Decat is een erkend installatiebedrijf met een omzet van 40 miljoen euro, dat innovatieve oplossingen biedt op het gebied van energie, automatisering, leidingwerk en ondersteuning & onderhoud. Ze zijn gespecialiseerd in het leveren van multidisciplinaire en duurzame totaaloplossingen voor verschillende marktsectoren, waaronder gezondheidszorg, industrie, appartementsbouw, recreatie, onderwijs en werkruimte.",Elektrische installatiewerkzaamheden,43211 - 43211 - 47540,West-Vlaanderen,"Handelsstraat 15, 8630 Veurne",200 - 500,€50M - €100M,app.bizzy.org/BE/0416245.806?utm_source=export&utm_medium=lists_xlsx
UPGRADE ESTATE,0840.066.124,BE0840.066.124,info@upgrade-estate.be,Geverifieerd,+32 9 233 76 66,Geverifieerd,www.upgrade-estate.be,upgrade-estate,"Upgrade Estate is een bedrijf dat duurzame huisvesting creëert en beheert voor studenten, jonge professionals en bedrijven, met de nadruk op het verbinden van mensen. Ze bieden verschillende merken aan, zoals Upkot voor studenten, Upliving voor jonge professionals en Upoffiz voor groeiende MKB-bedrijven, met unieke faciliteiten en een gevoel van gemeenschap.",Vastgoedontwikkeling,41101 - 41203,Oost-Vlaanderen,"Amelia Earhartlaan 2/ 201, 9051 Afsnee",20 - 50,€50M - €100M,app.bizzy.org/BE/0840066.124?utm_source=export&utm_medium=lists_xlsx
TEC,0477.750.833,BE0477.750.833,info@tec.be,Geverifieerd,+32 3 270 97 00,Geverifieerd,www.tec.be,tec,"Tec is een technisch adviesbureau met meer dan 30 jaar ervaring en een team van meer dan 300 consultants. Ze zijn gespecialiseerd in project sourcing en bieden expertise op gebieden zoals industrie, petrochemie, farmacie, bouw, inspectie en digitaal.",Engineering,71121 - 71121,Antwerpen,"Rijnkaai 100/ c14, 2000 Antwerpen",200 - 500,€10M - €50M,app.bizzy.org/BE/0477750.833?utm_source=export&utm_medium=lists_xlsx
WONINGBOUW VERELST,0420.647.527,BE0420.647.527,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"Verelst biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Afwerking van gebouwen - Bouw - Sloopwerkzaamheden - Vastgoedontwikkeling - Woningbouw,41101 - 41102 - 41201 - 41201 - 43110 - 43390 - 71121,Antwerpen,"Mechelsesteenweg 35, 2840 Rumst",50 - 100,€10M - €50M,app.bizzy.org/BE/0420647.527?utm_source=export&utm_medium=lists_xlsx
BELCOTEC,0446.781.010,BE0446.781.010,info@belcotec.be,Geverifieerd,+32 14 75 47 03,Geverifieerd,www.belcotec.be,belcotec,"Belcotec is een bedrijf dat gespecialiseerd is in het ontwerpen, installeren en onderhouden van HVAC- en elektrische systemen voor gebouwen. Ze richten zich op innovatie en duurzame technologieën om een slimme toekomst te creëren.",Bouw - Elektrische installatiewerkzaamheden,43211 - 43221,Antwerpen,"Kleinhoefstraat 8, 2440 Geel",50 - 100,€10M - €50M,app.bizzy.org/BE/0446781.010?utm_source=export&utm_medium=lists_xlsx
Electro-Technisch Installateursbedrijf V. Vandenven,0411.106.091,BE0411.106.091,info@etivdv.be,Geverifieerd,+32 3 235 16 24,Geverifieerd,www.etivdv.be,etivdv,"ETIvdv is een dynamisch MKB-bedrijf met meer dan 40 jaar ervaring in elektrotechniek, hoogspanning, automatisering en algemene elektriciteit. Ze bieden een breed scala aan diensten aan, waaronder industriële automatisering, gebouwbeheer, onderhoud van hoogspanning en zonne-energieprojecten.",Elektrische installatiewerkzaamheden,43211 - 43211 - 43221,Antwerpen,"Griffier Schobbenslaan 2A, 2140 Borgerhout",20 - 50,€10M - €50M,app.bizzy.org/BE/0411106.091?utm_source=export&utm_medium=lists_xlsx
WILLY NAESSENS GENERAL CONTRACTOR,0480.296.587,BE0480.296.587,info@willynaessens.be,Geverifieerd,+32 89 79 84 10,Geverifieerd,www.willynaessens.be/,willynaessens,"Willy Naessens Group is een divers bedrijf met uiteenlopende zakelijke belangen, waaronder industriële bouw, landbouw, transport, dakbedekking en zwembaden. Ze geven prioriteit aan verticale integratie, diversificatie en menselijk kapitaal om hun doelen te bereiken.",Bouw - Woningbouw,41201 - 41203 - 41203,Limburg,"Industrieweg 116, 3980 Tessenderlo",20 - 50,€10M - €50M,app.bizzy.org/BE/0480296.587?utm_source=export&utm_medium=lists_xlsx
CLIMA & PARTNERS,0893.272.802,BE0893.272.802,info@climaenpartners.be,Geverifieerd,+32 3 466 02 20,Geverifieerd,www.climaenpartners.be,climaenpartners,"Clima & Partners is een specialist op het gebied van airconditioning die een totaalservice biedt voor luchtbehandeling, inclusief temperatuurregeling, vochtregulatie, ventilatie en luchtreiniging. Met een team van ingenieurs en technici bieden zij op maat gemaakte oplossingen voor residentiële, commerciële en industriële projecten, waarbij ze zorgen voor maximaal comfort en energie-efficiëntie.",Installatie van airconditioning - Installatie van ventilatie - Installatie van verwarming,42220 - 43211 - 43212 - 43221 - 43222 - 43222 - 46699 - 71121 - 95210,Antwerpen,"Blikstraat 4, 2110 Wijnegem",50 - 100,€10M - €50M,app.bizzy.org/BE/0893272.802?utm_source=export&utm_medium=lists_xlsx
MACHIELS BUILDING SOLUTIONS,0816.885.696,BE0816.885.696,info.mbs@machiels.com,Geverifieerd,+32 11 23 05 00,Geverifieerd,www.machielsbuildingsolutions.be,machielsbuildingsolutions,"MACHIELS BUILDING SOLUTIONS ontwerpt en bouwt hoogwaardige, innovatieve en duurzame totaaloplossingen in houtskeletbouw in grote volumes. Ze bieden engineering, productie, installatie en sleutel-op-de-deur oplossingen voor houtskeletprojecten.",Bouw - Verwerking van hout,16230 - 16230 - 43999 - 82990,Limburg,"Ekkelgaarden 16, 3500 Hasselt",50 - 100,€10M - €50M,app.bizzy.org/BE/0816885.696?utm_source=export&utm_medium=lists_xlsx
STAALBOUW VERELST,0426.609.265,BE0426.609.265,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"STAALBOUW VERELST biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,25110 - 25501,Antwerpen,"Klein Boom 15, 2580 Putte",20 - 50,€10M - €50M,app.bizzy.org/BE/0426609.265?utm_source=export&utm_medium=lists_xlsx
PELZER,0423.585.043,BE0423.585.043,info@pelzergroup.be,Geverifieerd,+32 84 31 65 81,Geverifieerd,www.pelzergroup.be,pelzergroup,"FRIGO HELMUT PELZER is een bedrijf dat gespecialiseerd is in het ontwerpen en implementeren van industriële, commerciële en HVAC-koelsystemen. Met 30 jaar ervaring zorgen zij ervoor dat er wordt voldaan aan strenge betrouwbaarheidseisen en milieuregels.",Installatie van airconditioning - Installatie van ventilatie - Installatie van verwarming,28250 - 28250 - 43222 - 46431 - 46742,Liège,"Parc Ind. des Hauts Sarts, 1e av 55-57, 4040 Herstal",50 - 100,€10M - €50M,app.bizzy.org/BE/0423585.043?utm_source=export&utm_medium=lists_xlsx
"ARCHITEAM, MULTIPROFESSIONELE ARCHITECTENVENNOOTSCHAP",0448.325.387,BE0448.325.387,info@architeam.be,Geverifieerd,+32 15 51 30 24,Geverifieerd,www.architeam.be,architeam,"Architeam BV is een multidisciplinair architectenbureau dat uitgebreide oplossingen biedt op het gebied van architectuur, planning, interieurontwerp en diverse andere disciplines die verband houden met de bouwsector. Ze zijn gespecialiseerd in het leveren van duurzame en efficiënte ontwerpen voor een breed scala aan projecten, waaronder industrie, logistiek, commercieel, kantoor- en woongebouwen.",Architectuur - Bouwarchitecten - Interieurarchitecten - Stadsarchitecten,71111 - 71111,Vlaams-Brabant,"Leuvensesteenweg 350, 3190 Boortmeerbeek",10 - 20,€10M - €50M,app.bizzy.org/BE/0448325.387?utm_source=export&utm_medium=lists_xlsx
MATERIAUX DE VAULX,0897.799.732,BE0897.799.732,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"MDV is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Groothandel in bouwproducten - Vervaardiging van bouwproducten,08990 - 23610 - 23620 - 23990 - 46130 - 49410 - 77120,Henegouwen,"Rue du Gros Lot 2, 7536 Vaulx",1 - 10,€10M - €50M,app.bizzy.org/BE/0897799.732?utm_source=export&utm_medium=lists_xlsx
GROUP-IPS,0880.441.977,BE0880.441.977,info@group-ips.com,Geverifieerd,+32 67 87 43 70,Geverifieerd,www.group-ips.com,group-ips,"GROUP-IPS is gespecialiseerd in EPCM-projectmanagement en strategische remote adviesdiensten om bedrijven te helpen duurzame, toekomstbestendige industriële faciliteiten te ontwikkelen in verschillende sectoren.",Facilitair en vastgoedbeheer,64200 - 81100,Antwerpen,"Battelsesteenweg 455B, 2800 Mechelen",1 - 10,€10M - €50M,app.bizzy.org/BE/0880441.977?utm_source=export&utm_medium=lists_xlsx
PASSION WORKS!,0563.882.180,BE0563.882.180,info@passionworks.be,Geverifieerd,+32 11 94 89 00,Geverifieerd,www.passionworksbetter.be,passionworksbetter,"Passion Works Better is een klantgericht uitzendbureau dat gespecialiseerd is in het MKB en maatwerk HR-oplossingen biedt met oog voor detail en toegevoegde waarde. Ze bieden diensten aan zoals maatwerk werving en selectie, interim plaatsingen, outplacement, payrolling en matching.",Arbeidsbemiddeling - Human resources,70220 - 78200 - 78200 - 78300,Limburg,"Kerkstraat 81, 3850 Binderveld",50 - 100,€10M - €50M,app.bizzy.org/BE/0563882.180?utm_source=export&utm_medium=lists_xlsx
BESIX Group,0400.459.154,BE0400.459.154,adrien.theunissen@besix.com,Geverifieerd,+32 473 30 92 88,Geverifieerd,www.besix.com,besix,"Besix is een gediversifieerde groep die volledige bouwoplossingen biedt, waaronder aanneming, concessies & activa en vastgoed. Met meer dan 100 jaar ervaring blinken ze uit in het creëren van duurzame oplossingen voor een betere wereld.",Holdings,64200 - 64200,Brussel,"Gemeenschappenlaan 100, 1200 Woluwe-Saint-Lambert",10 - 20,€10M - €50M,app.bizzy.org/BE/0400459.154?utm_source=export&utm_medium=lists_xlsx
STADSBADER ROUTE,0458.154.160,BE0458.154.160,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"STAROUTE is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Goederenvervoer - Goederenvervoer over de weg,23990 - 49410 - 52210,Henegouwen,"Rue du Gros Lot 2, 7536 Vaulx",20 - 50,€5M - €10M,app.bizzy.org/BE/0458154.160?utm_source=export&utm_medium=lists_xlsx
Verelst International,0562.927.424,BE0562.927.424,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"Verelst International biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,64200 - 70100,Antwerpen,"Klein Boom 15, 2580 Putte",10 - 20,€5M - €10M,app.bizzy.org/BE/0562927.424?utm_source=export&utm_medium=lists_xlsx
STV - TRANS,0456.482.790,BE0456.482.790,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"STV-TRANS is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Goederenvervoer - Goederenvervoer over de weg,49410 - 49410,Oost-Vlaanderen,"Scheldekaai 9, 9690 Kluisbergen",20 - 50,€5M - €10M,app.bizzy.org/BE/0456482.790?utm_source=export&utm_medium=lists_xlsx
DENYS GLOBAL,0416.598.964,BE0416.598.964,info@denys.com,Geverifieerd,+32 9 226 77 71,Geverifieerd,www.denys.com,denys,"Denys is gespecialiseerd in complexe bouwprojecten en infrastructuurwerken in verschillende sectoren, waaronder water, energie en mobiliteit, en biedt op maat gemaakte oplossingen via een multidisciplinaire aanpak. Het bedrijf zet zich in voor innovatie en duurzaamheid in zijn bouw- en restauratie-inspanningen.",Bouw van infrastructuur - Vervoer via pijpleidingen,64200,Brussel,"Rue Van Orley 15, 1000 Brussel",1 - 10,€5M - €10M,app.bizzy.org/BE/0416598.964?utm_source=export&utm_medium=lists_xlsx
BESIX Environment,0439.714.163,BE0439.714.163,adrien.theunissen@besix.com,Geverifieerd,+32 473 30 92 88,Geverifieerd,www.besix.com,besix,"Flamant is een gediversifieerde groep die volledige bouwoplossingen biedt, waaronder aanneming, concessies & activa en vastgoed. Met meer dan 100 jaar ervaring blinken ze uit in het creëren van duurzame oplossingen voor een betere wereld.",Bouw,42919 - 42919 - 46699,Brussel,"Avenue des Communautés 100, 1200 Woluwe-Saint-Lambert",10 - 20,€2M - €5M,app.bizzy.org/BE/0439714.163?utm_source=export&utm_medium=lists_xlsx
Haute Ecole Libre Mosane,0898.631.160,BE0898.631.160,info@helmo.be,Geverifieerd,+32 87 66 07 55,Geverifieerd,www.helmo.be,helmo,"HELMo biedt een breed scala aan onderwijsprogramma's, waaronder bachelor-, master- en specialisatieopleidingen, evenals cursussen voor bijscholing. Ze streven ernaar om authentieke en assertieve communicatie te bieden, effectieve vergaderingen te faciliteren en het welzijn in instellingen te bevorderen.",Verenigingen,85422 - 85422,Liège,"Mont Saint-Martin 45, 4000 Liège",100 - 200,€2M - €5M,app.bizzy.org/BE/0898631.160?utm_source=export&utm_medium=lists_xlsx
ENGIE SUN4BUSINESS 3,0704.895.139,BE0704.895.139,contact@ajusto.be,Geverifieerd,+32 78 78 20 20,Geverifieerd,www.engie.be/,engie,"ENGIE SUN4BUSINESS 3 is een toonaangevend expertise- en onderzoekscentrum op het gebied van elektrische energietechnologie. Ze bieden operationeel onderzoek en ontwikkelingsdiensten, gespecialiseerde expertise en op maat gemaakte wereldwijde oplossingen voor klanten in de sectoren opwekking, transmissie, distributie, opslag en eindgebruik van elektriciteit. Ze richten zich op de energietransitie en netto nul koolstof, en bieden expertise op alle vormen van elektriciteitsopwekking, van fossiele en nucleaire tot hernieuwbare technologieën.",Distributie van elektriciteit - Elektriciteit - Energie - Productie van elektriciteit,35110 - 35130,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€2M - €5M,app.bizzy.org/BE/0704895.139?utm_source=export&utm_medium=lists_xlsx
Maasland Groefuitbating,0401.327.008,BE0401.327.008,contact@machiels.com,Geverifieerd,+32 11 28 70 51,Geverifieerd,www.machiels.com/,machiels,"Maasland Groefuitbating is een Belgisch familiebedrijf dat zich richt op milieudiensten, hernieuwbare energie en vastgoed. Ze staan bekend om hun innovatieve oplossingen op gebieden zoals afvalbeheer, verbeterde stortplaatsontginning, zonnepanelen, windprojecten en houten constructie.",Mijnbouw - Vervaardiging van bouwproducten,08111 - 23630 - 35110 - 35130 - 41102 - 68203,Limburg,"Ekkelgaarden 16, 3500 Hasselt",1 - 10,€2M - €5M,app.bizzy.org/BE/0401327.008?utm_source=export&utm_medium=lists_xlsx
BESIX Real Estate Development  Properties,0448.788.613,BE0448.788.613,adrien.theunissen@besix.com,Geverifieerd,+32 473 30 92 88,Geverifieerd,www.besix.com/,besix,"Besix is een gediversifieerde groep die volledige bouwoplossingen biedt, waaronder aanneming, concessies & activa en vastgoed. Met meer dan 100 jaar ervaring blinken ze uit in het creëren van duurzame oplossingen voor een betere wereld.",,,Brussel,"Avenue des Communautés 100, 1200 Woluwe-Saint-Lambert",1 - 10,€2M - €5M,app.bizzy.org/BE/0448788.613?utm_source=export&utm_medium=lists_xlsx
Building Technology,0777.335.531,BE0777.335.531,info@building-technology.be,Geverifieerd,+32 3 235 16 24,Geverifieerd,www.building-technology.be,building-technology,"Building Technology is een groep van onderling verbonden MKB-bedrijven die gespecialiseerd zijn in ontwerp- en bouwprojecten en een complete dienstverlening bieden op het gebied van bouwtechnologieën. Met een focus op duurzaamheid en innovatie streven zij ernaar de betrouwbare partner te zijn voor klanten die op zoek zijn naar een ""one-stop-shop"" voor hun investeringen in Building Technology",Administratieve activiteiten,64200 - 68100 - 70210 - 70220 - 70220 - 82110 - 82990,Antwerpen,"Griffier Schobbenslaan 2A, 2140 Borgerhout",1 - 10,€2M - €5M,app.bizzy.org/BE/0777335.531?utm_source=export&utm_medium=lists_xlsx
Arch - Invest,0445.964.131,BE0445.964.131,architecten@jaspers-eyers.be,Geverifieerd,+32 2 514 04 96,Geverifieerd,www.jaspers-eyers.be,jaspers-eyers,,Consulting voor bedrijven,70220 - 70220,Brussel,"Rue Haute 139, 1000 Brussel",1 - 10,€2M - €5M,app.bizzy.org/BE/0445964.131?utm_source=export&utm_medium=lists_xlsx
J.M. CONSTRUCT,0439.659.230,BE0439.659.230,contact@machiels.com,Geverifieerd,+32 11 28 70 51,Geverifieerd,www.machiels.com/,machiels,"Machiels is een Belgisch familiebedrijf dat zich richt op milieudiensten, hernieuwbare energie en vastgoed. Ze staan bekend om hun innovatieve oplossingen op gebieden zoals afvalbeheer, verbeterde stortplaatsontginning, zonnepanelen, windprojecten en houten constructie.",Facilitair en vastgoedbeheer,64200 - 68100 - 70220 - 81100,Limburg,"Ekkelgaarden 16, 3500 Hasselt",1 - 10,€1M - €2M,app.bizzy.org/BE/0439659.230?utm_source=export&utm_medium=lists_xlsx
VERELST - DNA,0534.523.646,BE0534.523.646,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"VERELST-DNA biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Woningbouw,64200 - 70220,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€1M - €2M,app.bizzy.org/BE/0534523.646?utm_source=export&utm_medium=lists_xlsx
Machiels,0413.665.903,BE0413.665.903,contact@machiels.com,Geverifieerd,+32 11 28 70 51,Geverifieerd,www.machiels.com,machiels,"Machiels is een Belgisch familiebedrijf dat zich richt op milieudiensten, hernieuwbare energie en vastgoed. Ze staan bekend om hun innovatieve oplossingen op gebieden zoals afvalbeheer, verbeterde stortplaatsontginning, zonnepanelen, windprojecten en houten constructie.",Afvalverwerking en recycling,29100 - 38219 - 38221 - 41201 - 43120 - 43212 - 66290,Limburg,"Ekkelgaarden 16, 3500 Hasselt",1 - 10,€1M - €2M,app.bizzy.org/BE/0413665.903?utm_source=export&utm_medium=lists_xlsx
